decoder,N,p,num_repeat,num_shots,seed,max_iter,osd_order,n_a,n_a_solve,n_b,a_noisy_boundary,parallel_workers,parallel_backend,elapsed_sec,flagged,logical_or_flagged,ler,detector_blocks,num_cols,diagnostics
global,144,0.0001,12,1000,0,200,10,3,9,3,False,1,thread,0.4050453749950975,0,0,0.0,13,8784,{}
global,144,0.0002,12,1000,1,200,10,3,9,3,False,1,thread,0.6132610000204295,0,0,0.0,13,8784,{}
global,144,0.0005,12,1000,2,200,10,3,9,3,False,1,thread,0.9501229170127772,0,0,0.0,13,8784,{}
global,144,0.001,12,1000,3,200,10,3,9,3,False,1,thread,1.7819150839932263,0,0,0.0,13,8784,{}
global,144,0.0015,12,1000,4,200,10,3,9,3,False,1,thread,2.787137250008527,0,0,0.0,13,8784,{}
global,144,0.002,12,1000,5,200,10,3,9,3,False,1,thread,5.01666700001806,0,0,0.0,13,8784,{}
global,144,0.0025,12,1000,6,200,10,3,9,3,False,1,thread,9.950824541971087,0,0,0.0,13,8784,{}
global,144,0.003,12,1000,7,200,10,3,9,3,False,1,thread,17.38428258401109,0,1,0.001,13,8784,{}
global,144,0.0035,12,1000,8,200,10,3,9,3,False,1,thread,25.6968687089975,0,7,0.007,13,8784,{}
global,144,0.004,12,1000,9,200,10,3,9,3,False,1,thread,42.72771762503544,0,10,0.01,13,8784,{}
global,144,0.0045,12,1000,10,200,10,3,9,3,False,1,thread,61.31114195898408,0,20,0.02,13,8784,{}
global,144,0.005,12,1000,11,200,10,3,9,3,False,1,thread,85.62928195798304,0,56,0.056,13,8784,{}
