decoder,N,p,num_repeat,num_shots,seed,max_iter,osd_order,n_a,n_b,elapsed_sec,flagged,logical_or_flagged,ler,detector_blocks,num_cols,diagnostics
global,144,0.003,12,100,0,200,10,3,3,2.3745542500400916,0,0,0.0,13,8784,{}
sliding,144,0.003,12,100,0,200,10,3,3,15.052842125005554,96,96,0.96,13,8784,"{""sliding_width"": 3}"
parallel,144,0.003,12,100,0,200,10,3,3,2.650332708028145,19,19,0.19,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s2"", ""s4-s6"", ""s8-s10"", ""s12-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""n_a"": 3, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 42}"
oracle,144,0.003,12,100,0,200,10,3,3,0.5471930000348948,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s2"", ""s4-s6"", ""s8-s10"", ""s12-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""oracle"", ""n_a"": 3, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
global,144,0.004,12,100,1,200,10,3,3,4.213078500004485,0,0,0.0,13,8784,{}
sliding,144,0.004,12,100,1,200,10,3,3,17.04218824999407,99,99,0.99,13,8784,"{""sliding_width"": 3}"
parallel,144,0.004,12,100,1,200,10,3,3,4.1278414580156095,49,49,0.49,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s2"", ""s4-s6"", ""s8-s10"", ""s12-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""n_a"": 3, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 104}"
oracle,144,0.004,12,100,1,200,10,3,3,0.7541515829507262,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s2"", ""s4-s6"", ""s8-s10"", ""s12-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""oracle"", ""n_a"": 3, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
global,144,0.005,12,100,2,200,10,3,3,10.599908208008856,0,5,0.05,13,8784,{}
sliding,144,0.005,12,100,2,200,10,3,3,18.60004058398772,99,99,0.99,13,8784,"{""sliding_width"": 3}"
parallel,144,0.005,12,100,2,200,10,3,3,5.26831824996043,57,61,0.61,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s2"", ""s4-s6"", ""s8-s10"", ""s12-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""n_a"": 3, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 125}"
oracle,144,0.005,12,100,2,200,10,3,3,0.8608586670015939,0,1,0.01,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s2"", ""s4-s6"", ""s8-s10"", ""s12-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""oracle"", ""n_a"": 3, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
