decoder,N,p,num_repeat,num_shots,seed,max_iter,osd_order,n_a,n_b,elapsed_sec,flagged,logical_or_flagged,ler,detector_blocks,num_cols,diagnostics
global,144,0.003,12,100,0,200,10,3,3,2.449407708016224,0,0,0.0,13,8784,{}
sliding,144,0.003,12,100,0,200,10,3,3,5.846130083024036,0,0,0.0,13,8784,"{""sliding_width"": 3}"
parallel,144,0.003,12,100,0,200,10,3,3,2.666428249969613,19,19,0.19,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s2"", ""s4-s6"", ""s8-s10"", ""s12-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""n_a"": 3, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 42}"
oracle,144,0.003,12,100,0,200,10,3,3,0.547820541949477,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s2"", ""s4-s6"", ""s8-s10"", ""s12-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""oracle"", ""n_a"": 3, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
global,144,0.004,12,100,1,200,10,3,3,4.176449791993946,0,0,0.0,13,8784,{}
sliding,144,0.004,12,100,1,200,10,3,3,7.139833000022918,0,5,0.05,13,8784,"{""sliding_width"": 3}"
parallel,144,0.004,12,100,1,200,10,3,3,4.066389875020832,49,49,0.49,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s2"", ""s4-s6"", ""s8-s10"", ""s12-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""n_a"": 3, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 104}"
oracle,144,0.004,12,100,1,200,10,3,3,0.6840326249948703,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s2"", ""s4-s6"", ""s8-s10"", ""s12-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""oracle"", ""n_a"": 3, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
global,144,0.005,12,100,2,200,10,3,3,10.412114666949492,0,5,0.05,13,8784,{}
sliding,144,0.005,12,100,2,200,10,3,3,8.461390374985058,0,15,0.15,13,8784,"{""sliding_width"": 3}"
parallel,144,0.005,12,100,2,200,10,3,3,5.260923583991826,57,61,0.61,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s2"", ""s4-s6"", ""s8-s10"", ""s12-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""n_a"": 3, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 125}"
oracle,144,0.005,12,100,2,200,10,3,3,0.7966957499738783,0,1,0.01,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s2"", ""s4-s6"", ""s8-s10"", ""s12-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""oracle"", ""n_a"": 3, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
